Country Name,Country Code,Year,Value,2015 Population
Afghanistan,AFG,2015,19215562179,33753499
Albania,ALB,2015,11335264967,2882481
Algeria,DZA,2015,1.66E+11,39543154
American Samoa,ASM,2015,659000000,51368
Andorra,AND,2015,2811489409,71746
Angola,AGO,2015,1.03E+11,28127721
Antigua and Barbuda,ATG,2015,1364863037,89941
Argentina,ARG,2015,5.85E+11,43257065
Armenia,ARM,2015,10553337673,2878595
Australia,AUS,2015,1.35E+12,23820236
Austria,AUT,2015,3.82E+11,8642421
Azerbaijan,AZE,2015,53074370486,9863480
"Bahamas, The",BHS,2015,11240000000,"392,697"
Bahrain,BHR,2015,31125851064,1362142
Bangladesh,BGD,2015,1.95E+11,157830000
Barbados,BRB,2015,4584150000,278083
Belarus,BLR,2015,56454734397,9700609
Belgium,BEL,2015,4.55E+11,11248303
Belize,BLZ,2015,1742545900,359871
Benin,BEN,2015,8290986804,10932783
Bhutan,BTN,2015,2059258653,743274
Bolivia,BOL,2015,33000198263,11090085
Bosnia and Herzegovina,BIH,2015,16209702864,3524324
Botswana,BWA,2015,14430573505,2305171
Brazil,BRA,2015,1.80E+12,205188205
Brunei Darussalam,BRN,2015,12930394938,"421,437"
Bulgaria,BGR,2015,50199117547,7309253
Burkina Faso,BFA,2015,10419303761,18718019
Burundi,BDI,2015,3066681387,10727148
Cabo Verde,CPV,2015,1574288668,"552,166"
Cambodia,KHM,2015,18049954289,15417523
Cameroon,CMR,2015,30916218544,23012646
Canada,CAN,2015,1.55E+12,35732126
Central African Republic,CAF,2015,1583776760,4819333
Chad,TCD,2015,10888798114,14140274
Chile,CHL,2015,2.43E+11,17870124
China,CHN,2015,1.11E+13,1393715448
Colombia,COL,2015,2.92E+11,47119728
Comoros,COM,2015,565689764.6,730216
"Congo, Dem. Rep.",COD,2015,36188521107,7.87E+07
"Congo, Rep.",COG,2015,8553154580,5.06E+06
Costa Rica,CRI,2015,54840103850,4895242
Cote d'Ivoire,CIV,2015,33145096414,2.37E+07
Croatia,HRV,2015,48921877448,4254815
Cuba,CUB,2015,87132800000,11339894
Cyprus,CYP,2015,19676167240,1187280
Czech Republic,CZE,2015,1.87E+11,10523798
Denmark,DNK,2015,3.01E+11,5677796
