Year,State/Country,Unemployment Rate (Percentage)
2020,Kelantan,4.3
2020,Perlis,4.3
2020,Selangor,4.3
2020,Sarawak,4.3
2020,W.P. Labuan,7.2
2020,W.P. Putrajaya,1.5
2019,Kelantan,4
2019,Perlis,3.3
2019,Sarawak,3.1
2019,Selangor,2.9
2019,W.P. Labuan,6.9
2019,W.P. Putrajaya,1.2
2018,Kelantan,4
2018,Perlis,3.4
2018,Sarawak,3.2
2018,Selangor,2.8
2018,W.P. Labuan,7.1
2018,W.P. Putrajaya,1.3
2017,Kelantan,3.6
2017,Perlis,3.5
2017,Sarawak,3
2017,Selangor,2.8
2017,W.P. Labuan,8.5
2017,W.P. Putrajaya,1.5
2016,Kelantan,3.8
2016,Perlis,2.9
2016,Sarawak,3.3
2016,Selangor,3.2
2016,W.P. Labuan,7.8
2016,W.P. Putrajaya,1.7
2015,Kelantan,3.6
2015,Perlis,2.9
2015,Sarawak,3.5
2015,Selangor,2.4
2015,W.P. Labuan,5
2015,W.P. Putrajaya,1
2014,Kelantan,3.3
2014,Perlis,3.3
2014,Sarawak,3.1
2014,Selangor,2
2014,W.P. Labuan,5.1
2014,W.P. Putrajaya,1.2
2013,Kelantan,2.8
2013,Perlis,3.7
2013,Sarawak,3.7
2013,Selangor,2.4
2013,W.P. Labuan,4.1
2013,W.P. Putrajaya,1.2
2012,Kelantan,2.3
2012,Perlis,3.9
2012,Sarawak,3.5
2012,Selangor,2.3
2012,W.P. Labuan,4.6
2012,W.P. Putrajaya,1.5
2011,Kelantan,2
2011,Perlis,4
2011,Sarawak,4.1
2011,Selangor,2.4
2011,W.P. Labuan,4.2
2011,W.P. Putrajaya,1.1
2010,Kelantan,2.4
2010,Perlis,3.3
2010,Sarawak,4.4
2010,Selangor,3.2
2010,W.P. Labuan,6
2010,W.P. Putrajaya,0
2009,Kelantan,2.4
2009,Perlis,3.3
2009,Sarawak,4.6
2009,Selangor,3.6
2009,W.P. Labuan,5.6
2009,W.P. Putrajaya,0
2008,Kelantan,2.9
2008,Perlis,2.9
2008,Sarawak,5.3
2008,Selangor,3.1
2008,W.P. Labuan,5.6
2008,W.P. Putrajaya,0
2007,Kelantan,2.7
2007,Perlis,3
2007,Sarawak,4.3
2007,Selangor,3
2007,W.P. Labuan,4.5
2007,W.P. Putrajaya,0
2006,Kelantan,2.4
2006,Perlis,3.2
2006,Sarawak,4.1
2006,Selangor,3.2
2006,W.P. Labuan,9.4
2006,W.P. Putrajaya,0
2005,Kelantan,3.4
2005,Perlis,2.9
2005,Sarawak,4.1
2005,Selangor,3.1
2005,W.P. Labuan,5.1
2005,W.P. Putrajaya,0
2004,Kelantan,4.1
2004,Perlis,3.3
2004,Sarawak,3.8
2004,Selangor,2.7
2004,W.P. Labuan,5
2004,W.P. Putrajaya,0
2003,Kelantan,3.2
2003,Perlis,4.4
2003,Sarawak,3.9
2003,Selangor,3.2
2003,W.P. Labuan,4.5
2003,W.P. Putrajaya,0
2002,Kelantan,3.9
2002,Perlis,3.1
2002,Sarawak,4
2002,Selangor,3
2002,W.P. Labuan,3.2
2002,W.P. Putrajaya,0
2001,Kelantan,3.1
2001,Perlis,3.5
2001,Sarawak,4.4
2001,Selangor,2.4
2001,W.P. Labuan,5.4
2001,W.P. Putrajaya,0
2000,Kelantan,2.6
2000,Perlis,2.9
2000,Sarawak,4.3
2000,Selangor,2
2000,W.P. Labuan,4.7
2000,W.P. Putrajaya,0
1999,Kelantan,3.2
1999,Perlis,3.4
1999,Sarawak,4.6
1999,Selangor,1.9
1999,W.P. Labuan,4
1999,W.P. Putrajaya,0
1998,Kelantan,4.1
1998,Perlis,4.3
1998,Sarawak,5
1998,Selangor,1.8
1998,W.P. Labuan,2.5
1998,W.P. Putrajaya,0
1997,Kelantan,3.6
1997,Perlis,2.3
1997,Sarawak,3.9
1997,Selangor,1
1997,W.P. Labuan,3.3
1997,W.P. Putrajaya,0
1996,Kelantan,3.3
1996,Perlis,2
1996,Sarawak,4.4
1996,Selangor,0.9
1996,W.P. Labuan,5.1
1996,W.P. Putrajaya,0
1995,Kelantan,3.5
1995,Perlis,1.4
1995,Sarawak,4.8
1995,Selangor,2
1995,W.P. Labuan,4.7
1995,W.P. Putrajaya,0
1993,Kelantan,4.7
1993,Perlis,1.4
1993,Sarawak,7
1993,Selangor,2.7
1993,W.P. Labuan,5.9
1993,W.P. Putrajaya,0
1992,Kelantan,5.3
1992,Perlis,2.7
1992,Sarawak,7.8
1992,Selangor,2.1
1992,W.P. Labuan,3.3
1992,W.P. Putrajaya,0
1990,Kelantan,3.4
1990,Perlis,4.3
1990,Sarawak,9.9
1990,Selangor,2.1
1990,W.P. Labuan,5.7
1990,W.P. Putrajaya,0
