State,Industry,Employed person in Thousands
JOHOR,"Agriculture, forestry and fishing",121.3
KEDAH,"Agriculture, forestry and fishing",121.2
KELANTAN,"Agriculture, forestry and fishing",100.1
MALAYSIA,"Agriculture, forestry and fishing","1,635.00"
MELAKA,"Agriculture, forestry and fishing",15.2
NEGERI SEMBILAN,"Agriculture, forestry and fishing",37.7
PULAU PINANG,"Agriculture, forestry and fishing",10.3
PAHANG,"Agriculture, forestry and fishing",146.3
PERAK,"Agriculture, forestry and fishing",106.8
PERLIS,"Agriculture, forestry and fishing",10
SABAH,"Agriculture, forestry and fishing",570.4
SARAWAK,"Agriculture, forestry and fishing",299.3
SELANGOR,"Agriculture, forestry and fishing",55
TERENGGANU,"Agriculture, forestry and fishing",40.4
W.P. KUALA LUMPUR,"Agriculture, forestry and fishing",0.4
W.P. LABUAN,"Agriculture, forestry and fishing",0.7
W.P. PUTRAJAYA,"Agriculture, forestry and fishing",0
JOHOR,Mining and quarrying,8.9
KEDAH,Mining and quarrying,1.6
KELANTAN,Mining and quarrying,1.5
MALAYSIA,Mining and quarrying,97.2
MELAKA,Mining and quarrying,2.2
NEGERI SEMBILAN,Mining and quarrying,1.6
PULAU PINANG,Mining and quarrying,0.4
PAHANG,Mining and quarrying,5.2
PERAK,Mining and quarrying,4.8
PERLIS,Mining and quarrying,0.2
SABAH,Mining and quarrying,16.8
SARAWAK,Mining and quarrying,10.8
SELANGOR,Mining and quarrying,27.3
TERENGGANU,Mining and quarrying,13.2
W.P. KUALA LUMPUR,Mining and quarrying,0.4
W.P. LABUAN,Mining and quarrying,2.2
W.P. PUTRAJAYA,Mining and quarrying,0
JOHOR,Manufacturing,419.3
KEDAH,Manufacturing,183
KELANTAN,Manufacturing,65.1
MALAYSIA,Manufacturing,"2,513.30"
MELAKA,Manufacturing,98.5
NEGERI SEMBILAN,Manufacturing,87.9
PULAU PINANG,Manufacturing,299.9
PAHANG,Manufacturing,80.2
PERAK,Manufacturing,170.6
PERLIS,Manufacturing,9.9
SABAH,Manufacturing,157.5
SARAWAK,Manufacturing,154.2
SELANGOR,Manufacturing,683.8
TERENGGANU,Manufacturing,50.5
W.P. KUALA LUMPUR,Manufacturing,48.2
W.P. LABUAN,Manufacturing,4.2
W.P. PUTRAJAYA,Manufacturing,0.6
