State,Industry,Employed person in Thousands
Johor,"Agriculture, forestry and fishing",121.3
Kedah,"Agriculture, forestry and fishing",121.2
Kelantan,"Agriculture, forestry and fishing",100.1
Melaka,"Agriculture, forestry and fishing",15.2
Negeri Sembilan,"Agriculture, forestry and fishing",37.7
Pulau Pinang,"Agriculture, forestry and fishing",10.3
Pahang,"Agriculture, forestry and fishing",146.3
Perak,"Agriculture, forestry and fishing",106.8
Perlis,"Agriculture, forestry and fishing",10
Sabah,"Agriculture, forestry and fishing",570.4
Sarawak,"Agriculture, forestry and fishing",299.3
Selangor,"Agriculture, forestry and fishing",55
Terengganu,"Agriculture, forestry and fishing",40.4
Kuala Lumpur,"Agriculture, forestry and fishing",0.4
Labuan,"Agriculture, forestry and fishing",0.7
Putrajaya,"Agriculture, forestry and fishing",0
Johor,Mining and quarrying,8.9
Kedah,Mining and quarrying,1.6
Kelantan,Mining and quarrying,1.5
Melaka,Mining and quarrying,2.2
Negeri Sembilan,Mining and quarrying,1.6
Pulau Pinang,Mining and quarrying,0.4
Pahang,Mining and quarrying,5.2
Perak,Mining and quarrying,4.8
Perlis,Mining and quarrying,0.2
Sabah,Mining and quarrying,16.8
Sarawak,Mining and quarrying,10.8
Selangor,Mining and quarrying,27.3
Terengganu,Mining and quarrying,13.2
Kuala Lumpur,Mining and quarrying,0.4
Labuan,Mining and quarrying,2.2
Putrajaya,Mining and quarrying,0
Johor,Manufacturing,419.3
Kedah,Manufacturing,183
Kelantan,Manufacturing,65.1
Melaka,Manufacturing,98.5
Negeri Sembilan,Manufacturing,87.9
Pulau Pinang,Manufacturing,299.9
Pahang,Manufacturing,80.2
Perak,Manufacturing,170.6
Perlis,Manufacturing,9.9
Sabah,Manufacturing,157.5
Sarawak,Manufacturing,154.2
Selangor,Manufacturing,683.8
Terengganu,Manufacturing,50.5
Kuala Lumpur,Manufacturing,48.2
Labuan,Manufacturing,4.2
Putrajaya,Manufacturing,0.6
Johor,"Electricity, gas, steam and air conditioning supply",4.4
Kedah,"Electricity, gas, steam and air conditioning supply",3.7
Kelantan,"Electricity, gas, steam and air conditioning supply",2.8
Melaka,"Electricity, gas, steam and air conditioning supply",1.7
Negeri Sembilan,"Electricity, gas, steam and air conditioning supply",3.1
Pulau Pinang,"Electricity, gas, steam and air conditioning supply",1.9
